,TEAM,PACE,AST,TO,REBR,OFF EFF,DEF EFF,Number of all stars,TEAM_ID,CITY,year
0,GSW,103.2,20.7,12.6,51.0,113.9,106.5,3.001,1610612744,Golden State,2018-2019
1,HOU,100.4,16.0,12.0,48.1,112.5,107.9,1.001,1610612745,Houston,2018-2019
2,MIL,105.4,18.4,12.0,52.3,111.5,103.0,2.001,1610612749,Milwaukee,2018-2019
3,POR,101.6,16.7,12.1,52.8,111.4,108.1,1.001,1610612757,Portland,2018-2019
4,SAS,100.4,18.3,11.0,50.5,111.1,108.3,1.001,1610612759,San Antonio,2018-2019
5,TOR,102.5,18.4,12.4,50.2,110.9,104.3,2.001,1610612761,Toronto,2018-2019
6,PHI,104.0,18.9,12.9,52.3,110.4,107.1,2.001,1610612755,Philadelphia,2018-2019
7,BOS,102.0,19.0,11.5,49.3,110.1,104.9,1.001,1610612738,Boston,2018-2019
8,DEN,100.1,19.5,11.9,52.2,109.8,106.8,1.001,1610612743,Denver,2018-2019
9,LAC,104.1,17.3,12.7,49.9,109.7,109.0,0.001,1610612746,Los Angeles,2018-2019
10,UTA,102.5,18.8,13.4,52.1,108.8,103.2,0.001,1610612762,Utah,2018-2019
11,NOP,105.6,18.7,12.6,50.8,108.6,110.4,1.001,1610612740,New Orleans,2018-2019
12,WAS,103.7,18.6,12.3,47.3,108.6,111.3,1.001,1610612764,Washington,2018-2019
13,MIN,102.8,17.6,11.4,49.5,108.4,110.2,1.001,1610612750,Minnesota,2018-2019
14,CHA,101.1,17.2,10.9,48.9,108.3,110.2,0.001,1610612766,Charlotte,2018-2019
15,SAC,105.5,17.9,11.5,48.6,108.3,108.7,0.001,1610612758,Sacramento,2018-2019
16,OKC,105.3,16.4,11.7,51.3,107.6,104.7,2.001,1610612760,Oklahoma City,2018-2019
17,IND,100.4,19.1,12.4,49.6,107.3,104.2,0.001,1610612754,Indiana,2018-2019
18,BKN,103.4,17.0,13.0,50.2,106.9,107.0,0.001,1610612751,Brooklyn,2018-2019
19,DAL,101.4,17.2,12.7,50.3,106.6,108.3,1.001,1610612742,Dallas,2018-2019
20,ORL,100.3,18.7,11.9,50.4,106.5,105.8,1.001,1610612753,Orlando,2018-2019
21,DET,99.7,16.7,12.3,50.7,106.1,106.9,1.001,1610612765,Detroit,2018-2019
22,ATL,106.4,17.8,14.3,50.0,105.5,111.2,0.001,1610612737,Atlanta,2018-2019
23,LAL,105.5,18.0,13.4,49.9,105.2,107.3,1.001,1610612747,Los Angeles,2018-2019
24,CLE,98.9,15.8,12.2,49.2,105.0,115.1,0.001,1610612739,Cleveland,2018-2019
25,MIA,100.7,17.8,13.1,51.2,104.6,105.1,1.001,1610612748,Miami,2018-2019
26,MEM,98.8,18.1,12.9,48.3,103.8,106.2,0.001,1610612763,Memphis,2018-2019
27,PHX,102.9,17.4,13.8,46.1,103.6,112.2,0.001,1610612756,Phoenix,2018-2019
28,CHI,101.1,16.5,12.7,48.0,102.5,110.9,0.001,1610612741,Chicago,2018-2019
29,NYK,102.0,15.1,12.4,48.5,102.1,110.9,0.001,1610612752,New York,2018-2019
