GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,HOME_TEAM_WINS
2021-05-07,22001009,1610612756,1610612752,2020,1
2021-05-07,22001010,1610612757,1610612747,2020,1
2021-05-07,22001011,1610612758,1610612759,2020,0
2021-05-06,22000434,1610612766,1610612741,2020,0
2021-05-06,22000997,1610612761,1610612764,2020,0
2021-05-06,22000998,1610612742,1610612751,2020,1
2021-05-06,22000999,1610612765,1610612763,2020,1
2021-05-06,22001000,1610612754,1610612737,2020,1
2021-05-06,22001001,1610612744,1610612760,2020,1
2021-05-06,22001002,1610612746,1610612747,2020,1
2021-05-05,22000990,1610612753,1610612738,2020,0
2021-05-05,22000991,1610612739,1610612757,2020,0
2021-05-05,22000183,1610612750,1610612763,2020,0
2021-05-05,22000235,1610612749,1610612764,2020,1
2021-05-05,22000992,1610612737,1610612756,2020,1
2021-05-05,22000993,1610612754,1610612758,2020,0
2021-05-05,22000994,1610612745,1610612755,2020,0
2021-05-05,22000995,1610612743,1610612752,2020,1
2021-05-05,22000996,1610612762,1610612759,2020,1
2021-05-04,22000983,1610612739,1610612756,2020,0
2021-05-04,22000984,1610612765,1610612766,2020,0
2021-05-04,22000985,1610612749,1610612751,2020,1
2021-05-04,22000986,1610612748,1610612742,2020,0
2021-05-04,22000987,1610612740,1610612744,2020,1
2021-05-04,22000988,1610612760,1610612758,2020,0
2021-05-04,22000989,1610612746,1610612761,2020,1
2021-05-03,22000975,1610612765,1610612753,2020,0
2021-05-03,22000976,1610612764,1610612754,2020,1
2021-05-03,22000977,1610612740,1610612744,2020,0
2021-05-03,22000978,1610612737,1610612757,2020,1
2021-05-03,22000979,1610612741,1610612755,2020,0
2021-05-03,22000980,1610612763,1610612752,2020,0
2021-05-03,22000981,1610612762,1610612759,2020,1
2021-05-03,22000982,1610612747,1610612743,2020,1
2021-05-02,22000967,1610612749,1610612751,2020,1
2021-05-02,22000968,1610612738,1610612757,2020,0
2021-05-02,22000969,1610612766,1610612748,2020,0
2021-05-02,22000970,1610612742,1610612758,2020,0
2021-05-02,22000971,1610612745,1610612752,2020,0
2021-05-02,22000972,1610612760,1610612756,2020,0
2021-05-02,22000973,1610612759,1610612755,2020,0
2021-05-02,22000974,1610612747,1610612761,2020,0
2021-05-01,22000957,1610612766,1610612765,2020,1
2021-05-01,22000958,1610612745,1610612744,2020,0
2021-05-01,22000959,1610612737,1610612741,2020,1
2021-05-01,22000960,1610612739,1610612748,2020,0
2021-05-01,22000961,1610612753,1610612763,2020,1
2021-05-01,22000962,1610612750,1610612740,2020,0
2021-05-01,22000963,1610612760,1610612754,2020,0
2021-05-01,22000964,1610612742,1610612764,2020,1
2021-05-01,22000965,1610612762,1610612761,2020,1
2021-05-01,22000966,1610612746,1610612743,2020,0
2021-04-30,22000949,1610612755,1610612737,2020,1
2021-04-30,22000950,1610612738,1610612759,2020,1
2021-04-30,22000951,1610612739,1610612764,2020,0
2021-04-30,22000952,1610612751,1610612757,2020,0
2021-04-30,22000953,1610612763,1610612753,2020,1
2021-04-30,22000954,1610612741,1610612749,2020,0
2021-04-30,22000955,1610612756,1610612762,2020,1
2021-04-30,22000956,1610612747,1610612758,2020,0
2021-04-29,22000943,1610612765,1610612742,2020,0
2021-04-29,22000944,1610612754,1610612751,2020,0
2021-04-29,22000945,1610612745,1610612749,2020,1
2021-04-29,22000946,1610612750,1610612744,2020,1
2021-04-29,22000947,1610612760,1610612740,2020,0
2021-04-29,22000948,1610612743,1610612761,2020,1
2021-04-28,22000933,1610612739,1610612753,2020,0
2021-04-28,22000934,1610612755,1610612737,2020,1
2021-04-28,22000935,1610612764,1610612747,2020,1
2021-04-28,22000936,1610612738,1610612766,2020,1
2021-04-28,22000937,1610612752,1610612741,2020,1
2021-04-28,22000938,1610612748,1610612759,2020,1
2021-04-28,22000939,1610612763,1610612757,2020,0
2021-04-28,22000940,1610612743,1610612740,2020,1
2021-04-28,22000941,1610612756,1610612746,2020,1
2021-04-28,22000942,1610612758,1610612762,2020,0
2021-04-27,22000927,1610612738,1610612760,2020,0
2021-04-27,22000928,1610612766,1610612749,2020,0
2021-04-27,22000929,1610612754,1610612757,2020,0
2021-04-27,22000930,1610612761,1610612751,2020,0
2021-04-27,22000931,1610612745,1610612750,2020,0
2021-04-27,22000932,1610612744,1610612742,2020,0
2021-04-26,22000916,1610612765,1610612737,2020,1
2021-04-26,22000917,1610612753,1610612747,2020,0
2021-04-26,22000918,1610612755,1610612760,2020,1
2021-04-26,22000919,1610612764,1610612759,2020,0
2021-04-26,22000920,1610612752,1610612756,2020,0
2021-04-26,22000921,1610612761,1610612739,2020,1
2021-04-26,22000922,1610612748,1610612741,2020,0
2021-04-26,22000923,1610612750,1610612762,2020,1
2021-04-26,22000924,1610612740,1610612746,2020,1
2021-04-26,22000925,1610612743,1610612763,2020,1
2021-04-26,22000926,1610612758,1610612742,2020,1
2021-04-25,22000911,1610612766,1610612738,2020,1
2021-04-25,22000912,1610612751,1610612756,2020,1
2021-04-25,22000240,1610612757,1610612763,2020,0
2021-04-25,22000197,1610612764,1610612739,2020,1
2021-04-25,22000913,1610612737,1610612749,2020,1
2021-04-25,22000914,1610612753,1610612754,2020,0
2021-04-25,22000915,1610612744,1610612758,2020,1
2021-04-24,22000904,1610612752,1610612761,2020,1
2021-04-24,22000905,1610612749,1610612755,2020,1
2021-04-24,22000906,1610612754,1610612765,2020,1
2021-04-24,22000264,1610612740,1610612759,2020,0
2021-04-24,22000907,1610612748,1610612741,2020,1
2021-04-24,22000908,1610612742,1610612747,2020,1
2021-04-24,22000909,1610612762,1610612750,2020,0
2021-04-24,22000910,1610612743,1610612745,2020,1
2021-04-23,22000898,1610612737,1610612748,2020,1
2021-04-23,22000899,1610612751,1610612738,2020,1
2021-04-23,22000900,1610612766,1610612739,2020,1
2021-04-23,22000901,1610612745,1610612746,2020,0
