,TEAM,PACE,AST,TO,REBR,OFF EFF,DEF EFF,Number of all stars,TEAM_ID,CITY,year
0,DAL,101.7,17.8,11.2,50.8,113.7,109.5,1.001,1610612742,Dallas,2019-2020
1,POR,103.2,15.3,11.2,49.2,111.1,111.8,0.001,1610612757,Portland,2019-2020
2,LAC,104.0,17.1,12.6,51.3,111.1,105.3,1.001,1610612746,Los Angeles,2019-2020
3,MIL,107.2,18.1,12.9,53.0,110.5,100.6,2.001,1610612749,Milwaukee,2019-2020
4,BOS,101.9,16.8,12.2,51.0,110.4,104.5,2.001,1610612738,Boston,2019-2020
5,SAS,102.6,18.0,11.2,49.6,110.4,110.9,0.001,1610612759,San Antonio,2019-2020
6,HOU,106.3,15.6,12.6,48.0,110.3,107.4,2.001,1610612745,Houston,2019-2020
7,DEN,99.5,19.3,12.3,50.9,110.1,108.6,1.001,1610612743,Denver,2019-2020
8,UTA,100.8,16.9,13.7,51.3,110.0,107.4,2.001,1610612762,Utah,2019-2020
9,MIA,100.5,19.0,13.5,51.1,110.0,107.2,2.001,1610612748,Miami,2019-2020
10,PHX,103.7,19.4,13.0,50.1,109.7,108.4,0.001,1610612756,Phoenix,2019-2020
11,LAL,103.3,18.2,13.3,52.0,109.6,103.8,2.001,1610612747,Los Angeles,2019-2020
12,PHI,101.3,18.7,12.7,52.1,109.1,106.3,2.001,1610612755,Philadelphia,2019-2020
13,TOR,103.3,18.3,13.1,49.6,109.0,102.0,2.001,1610612761,Toronto,2019-2020
14,OKC,101.1,16.5,12.4,48.9,108.4,106.3,1.001,1610612760,Oklahoma City,2019-2020
15,WAS,105.2,17.8,12.2,47.7,108.2,112.7,0.001,1610612764,Washington,2019-2020
16,NOP,106.3,18.5,13.9,50.9,108.0,109.4,1.001,1610612740,New Orleans,2019-2020
17,IND,101.3,19.0,12.0,48.6,107.9,105.1,1.001,1610612754,Indiana,2019-2020
18,SAC,101.2,17.5,13.0,49.5,107.8,109.6,0.001,1610612758,Sacramento,2019-2020
19,MEM,105.3,18.9,13.2,50.9,106.9,107.5,0.001,1610612763,Memphis,2019-2020
20,DET,99.9,17.8,13.8,48.9,106.1,110.4,0.001,1610612765,Detroit,2019-2020
21,ORL,100.9,17.7,11.5,49.8,106.1,107.1,0.001,1610612753,Orlando,2019-2020
22,BKN,104.0,17.4,13.1,51.1,106.0,107.1,0.001,1610612751,Brooklyn,2019-2020
23,MIN,105.9,16.8,13.0,48.6,105.3,110.0,0.001,1610612750,Minnesota,2019-2020
24,CLE,100.9,16.9,14.6,50.8,104.4,113.6,0.001,1610612739,Cleveland,2019-2020
25,ATL,105.6,17.0,13.8,47.9,104.3,112.3,1.001,1610612737,Atlanta,2019-2020
26,CHI,101.9,17.0,13.7,47.9,104.1,107.7,0.001,1610612741,Chicago,2019-2020
27,CHA,98.1,17.8,13.3,48.2,103.9,110.6,0.001,1610612766,Charlotte,2019-2020
28,NYK,100.9,16.2,12.6,51.3,103.8,110.6,0.001,1610612752,New York,2019-2020
29,GSW,102.7,18.4,13.2,48.0,102.9,110.9,0.001,1610612744,Golden State,2019-2020
